game_id,season,week,team,opponent,off_n,off_scr,off_scr_1st,off_scr_2nd,off_scr_3rd,off_scr_4th,off_1st,off_td,off_fg,off_punt,off_to,def_n,def_scr,def_scr_1st,def_scr_2nd,def_scr_3rd,def_scr_4th,def_1st,def_td,def_fg,def_punt,def_to
2006_01_MIA_PIT,2006,1,PIT,MIA,27,0.7407407407407407,0.18518518518518517,0.18518518518518517,0.3333333333333333,0.037037037037037035,0.6296296296296297,0.1111111111111111,0.037037037037037035,0.18518518518518517,0.037037037037037035,25,0.6,0.2,0.2,0.2,0,0.52,0.08,0.04,0.24,0.12
2006_01_MIA_PIT,2006,1,MIA,PIT,25,0.6,0.2,0.2,0.2,0,0.52,0.08,0.04,0.24,0.12,27,0.7407407407407407,0.18518518518518517,0.18518518518518517,0.3333333333333333,0.037037037037037035,0.6296296296296297,0.1111111111111111,0.037037037037037035,0.18518518518518517,0.037037037037037035
2006_01_ATL_CAR,2006,1,CAR,ATL,27,0.5555555555555556,0.2222222222222222,0.25925925925925924,0.07407407407407407,0,0.5555555555555556,0,0.07407407407407407,0.2222222222222222,0.14814814814814814,32,0.71875,0.25,0.34375,0.125,0,0.65625,0.0625,0.125,0.125,0.03125
2006_01_ATL_CAR,2006,1,ATL,CAR,32,0.71875,0.25,0.34375,0.125,0,0.65625,0.0625,0.125,0.125,0.03125,27,0.5555555555555556,0.2222222222222222,0.25925925925925924,0.07407407407407407,0,0.5555555555555556,0,0.07407407407407407,0.2222222222222222,0.14814814814814814
2006_01_NO_CLE,2006,1,CLE,NO,24,0.625,0.16666666666666666,0.20833333333333334,0.25,0,0.5416666666666666,0.08333333333333333,0,0.25,0.125,27,0.6296296296296297,0.1111111111111111,0.18518518518518517,0.3333333333333333,0,0.5925925925925926,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.1111111111111111
2006_01_NO_CLE,2006,1,NO,CLE,27,0.6296296296296297,0.1111111111111111,0.18518518518518517,0.3333333333333333,0,0.5925925925925926,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.1111111111111111,24,0.625,0.16666666666666666,0.20833333333333334,0.25,0,0.5416666666666666,0.08333333333333333,0,0.25,0.125
2006_01_SEA_DET,2006,1,DET,SEA,24,0.5833333333333334,0.20833333333333334,0.125,0.25,0,0.5833333333333334,0,0.125,0.25,0.041666666666666664,28,0.6071428571428571,0.14285714285714285,0.39285714285714285,0.07142857142857142,0,0.6071428571428571,0,0.17857142857142858,0.17857142857142858,0.03571428571428571
2006_01_SEA_DET,2006,1,SEA,DET,28,0.6071428571428571,0.14285714285714285,0.39285714285714285,0.07142857142857142,0,0.6071428571428571,0,0.17857142857142858,0.17857142857142858,0.03571428571428571,24,0.5833333333333334,0.20833333333333334,0.125,0.25,0,0.5833333333333334,0,0.125,0.25,0.041666666666666664
2006_01_PHI_HOU,2006,1,HOU,PHI,25,0.72,0.36,0.2,0.12,0.04,0.68,0.04,0.04,0.2,0.04,30,0.8,0.2,0.3333333333333333,0.26666666666666666,0,0.7,0.1,0.03333333333333333,0.1,0.06666666666666667
2006_01_PHI_HOU,2006,1,PHI,HOU,30,0.8,0.2,0.3333333333333333,0.26666666666666666,0,0.7,0.1,0.03333333333333333,0.1,0.06666666666666667,25,0.72,0.36,0.2,0.12,0.04,0.68,0.04,0.04,0.2,0.04
2006_01_CIN_KC,2006,1,KC,CIN,27,0.6666666666666666,0.2222222222222222,0.14814814814814814,0.18518518518518517,0.1111111111111111,0.6296296296296297,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.1111111111111111,21,0.5714285714285714,0.09523809523809523,0.2857142857142857,0.19047619047619047,0,0.47619047619047616,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.047619047619047616
2006_01_CIN_KC,2006,1,CIN,KC,21,0.5714285714285714,0.09523809523809523,0.2857142857142857,0.19047619047619047,0,0.47619047619047616,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.047619047619047616,27,0.6666666666666666,0.2222222222222222,0.14814814814814814,0.18518518518518517,0.1111111111111111,0.6296296296296297,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.1111111111111111
2006_01_BUF_NE,2006,1,NE,BUF,27,0.7037037037037037,0.07407407407407407,0.37037037037037035,0.18518518518518517,0.07407407407407407,0.6296296296296297,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.1111111111111111,20,0.6,0.15,0.3,0.15,0,0.55,0.05,0.05,0.25,0.1
2006_01_BUF_NE,2006,1,BUF,NE,20,0.6,0.15,0.3,0.15,0,0.55,0.05,0.05,0.25,0.1,27,0.7037037037037037,0.07407407407407407,0.37037037037037035,0.18518518518518517,0.07407407407407407,0.6296296296296297,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.1111111111111111
